ciudad_id,pais_id,nombre
1,64,Albertville
2,130,Amsterdam
3,19,Antwerpen
4,70,Athina
5,193,Atlanta
6,173,Barcelona
7,40,Beijing
8,68,Berlin
9,34,Calgary
10,64,Chamonix
11,88,Cortina d'Ampezzo
12,68,Garmisch-Partenkirchen
13,64,Grenoble
14,63,Helsinki
15,12,Innsbruck
16,193,Lake Placid
17,136,Lillehammer
18,192,London
19,193,Los Angeles
20,11,Melbourne
21,118,Mexico City
22,34,Montreal
23,152,Moskva
24,68,Munich
25,91,Nagano
26,136,Oslo
27,64,Paris
28,27,Rio de Janeiro
29,88,Roma
30,193,Salt Lake City
31,179,Sankt Moritz
32,91,Sapporo
33,25,Sarajevo
34,171,Seoul
35,152,Sochi
36,193,Squaw Valley
37,193,St. Louis
38,178,Stockholm
39,11,Sydney
40,91,Tokyo
41,88,Torino
42,34,Vancouver
