deporte_id,nombre
1,Acuáticos
2,Aeronáutica
3,Alpinismo
4,Atletismo
5,Baloncesto
6,Balonmano
7,Bandy
8,Biatlón
9,Bobsleigh
10,Boxeo
11,Breaking
12,Bádminton
13,Béisbol y Sóftbol
14,Ciclismo
15,Competiciones artísticas
16,Croquet
17,Críquet
18,Curling
19,Deportes aéreos
20,Ecuestre
21,Escalada deportiva
22,Esgrima
23,Esquí
24,Fútbol
25,Fútbol australiano
26,Gimnasia
27,Golf
28,Halterofilia
29,Hockey
30,Hockey sobre hielo
31,Jeu de paume
32,Judo
33,Karate
34,Lacrosse
35,Lucha
36,Luge
37,Motonáutica
38,Patinaje
39,Pelota vasca
40,Pentatlón de invierno
41,Pentatlón moderno
42,Piragüismo
43,Polo
44,Racquets
45,Remo
46,Roque
47,Rugby
48,Savate
49,Skateboarding
50,Skeleton
51,Surf
52,Taekwondo
53,Tenis
54,Tenis de mesa
55,Tira y afloja
56,Tiro
57,Tiro con arco
58,Triatlón
59,Vela
60,Voleibol
