edicion_id,anio,temporada,numero_olimpiada,nombre,fecha_inicio,fecha_fin,fue_cancelada,es_intercalada
1,1896,Verano,,1896 Verano,,,false,false
2,1900,Verano,,1900 Verano,,,false,false
3,1904,Verano,,1904 Verano,,,false,false
4,1906,Verano,,1906 Verano,,,false,true
5,1908,Verano,,1908 Verano,,,false,false
6,1912,Verano,,1912 Verano,,,false,false
7,1916,Verano,,1916 Verano,,,true,false
8,1920,Verano,,1920 Verano,,,false,false
9,1924,Verano,,1924 Verano,,,false,false
10,1924,Invierno,,1924 Invierno,,,false,false
11,1928,Verano,,1928 Verano,,,false,false
12,1928,Invierno,,1928 Invierno,,,false,false
13,1932,Verano,,1932 Verano,,,false,false
14,1932,Invierno,,1932 Invierno,,,false,false
15,1936,Verano,,1936 Verano,,,false,false
16,1936,Invierno,,1936 Invierno,,,false,false
17,1940,Verano,,1940 Verano,,,true,false
18,1940,Invierno,,1940 Invierno,,,true,false
19,1944,Verano,,1944 Verano,,,true,false
20,1944,Invierno,,1944 Invierno,,,true,false
21,1948,Verano,,1948 Verano,,,false,false
22,1948,Invierno,,1948 Invierno,,,false,false
23,1952,Verano,,1952 Verano,,,false,false
24,1952,Invierno,,1952 Invierno,,,false,false
25,1956,Verano,,1956 Verano,,,false,false
26,1956,Invierno,,1956 Invierno,,,false,false
27,1960,Verano,,1960 Verano,,,false,false
28,1960,Invierno,,1960 Invierno,,,false,false
29,1964,Verano,,1964 Verano,,,false,false
30,1964,Invierno,,1964 Invierno,,,false,false
31,1968,Verano,,1968 Verano,,,false,false
32,1968,Invierno,,1968 Invierno,,,false,false
33,1972,Verano,,1972 Verano,,,false,false
34,1972,Invierno,,1972 Invierno,,,false,false
35,1976,Verano,,1976 Verano,,,false,false
36,1976,Invierno,,1976 Invierno,,,false,false
37,1980,Verano,,1980 Verano,,,false,false
38,1980,Invierno,,1980 Invierno,,,false,false
39,1984,Verano,,1984 Verano,,,false,false
40,1984,Invierno,,1984 Invierno,,,false,false
41,1988,Verano,,1988 Verano,,,false,false
42,1988,Invierno,,1988 Invierno,,,false,false
43,1992,Verano,,1992 Verano,,,false,false
44,1992,Invierno,,1992 Invierno,,,false,false
45,1994,Invierno,,1994 Invierno,,,false,false
46,1996,Verano,,1996 Verano,,,false,false
47,1998,Invierno,,1998 Invierno,,,false,false
48,2000,Verano,,2000 Verano,,,false,false
49,2002,Invierno,,2002 Invierno,,,false,false
50,2004,Verano,,2004 Verano,,,false,false
51,2006,Invierno,,2006 Invierno,,,false,false
52,2008,Verano,,2008 Verano,,,false,false
53,2010,Invierno,,2010 Invierno,,,false,false
54,2012,Verano,,2012 Verano,,,false,false
55,2014,Invierno,,2014 Invierno,,,false,false
56,2016,Verano,,2016 Verano,,,false,false
57,2018,Invierno,,2018 Invierno,,,false,false
58,2020,Verano,,2020 Verano,,,false,false
59,2022,Invierno,,2022 Invierno,,,false,false
60,2024,Verano,,2024 Verano,,,false,false
