evento_id,disciplina_id,nombre,categoria_sexo,es_por_equipos
1,1,3x3 Basketball,F,true
2,1,3x3 Basketball,M,true
3,1,Individual,F,true
4,1,Individual,M,true
5,1,Team,F,true
6,1,Team,M,true
7,2,Aeronautics,Mixto,false
8,3,15 kilometres,M,false
9,3,18 kilometres,M,false
10,3,30 kilometres,M,false
11,3,4 × 10 kilometres Relay,M,true
12,3,50 kilometres,M,false
13,3,Combined,F,false
14,3,Combined,M,false
15,3,Downhill,F,false
16,3,Downhill,M,false
17,3,Four,M,true
18,3,Giant Slalom,F,false
19,3,Giant Slalom,M,false
20,3,Individual,M,false
21,3,"Large Hill, Individual",M,false
22,3,Parallel Giant Slalom,F,false
23,3,Slalom,F,false
24,3,Slalom,M,false
25,3,Super G,F,false
26,3,Super G,M,false
27,3,Team,Mixto,true
28,3,Two,M,false
29,4,Alpinism,Mixto,false
30,5,"Au Chapelet, 33 metres",M,false
31,5,"Au Chapelet, 50 metres",M,false
32,5,"Au Cordon Doré, 33 metres",M,false
33,5,"Au Cordon Doré, 50 metres",M,false
34,5,Championnat Du Monde,M,false
35,5,Continental Style,M,false
36,5,Double American Round,M,true
37,5,Double Columbia Round,F,true
38,5,Double National Round,F,true
39,5,Double York Round,M,true
40,5,Flight Shooting,F,false
41,5,Flight Shooting,M,false
42,5,"French Championship, Individual",M,false
43,5,Individual,F,false
44,5,Individual,M,false
45,5,"Pole Archery, Large Birds, Individual",M,false
46,5,"Pole Archery, Large Birds, Team",M,true
47,5,"Pole Archery, Small Birds, Individual",M,false
48,5,"Pole Archery, Small Birds, Team",M,true
49,5,Sur La Perche À La Herse,M,false
50,5,Sur La Perche À La Pyramide,M,false
51,5,"Target Archery, 28 metres, Individual",M,false
52,5,"Target Archery, 28 metres, Team",M,true
53,5,"Target Archery, 33 metres, Individual",M,false
54,5,"Target Archery, 33 metres, Team",M,true
55,5,"Target Archery, 50 metres, Individual",M,false
56,5,"Target Archery, 50 metres, Team",M,true
57,5,Team,F,true
58,5,Team,M,true
59,5,Team,Mixto,true
60,5,Team Round,F,true
61,5,Team Round,M,true
62,5,Unknown Event,M,false
63,6,Architecture,Abierto,false
64,6,Architecture,Mixto,false
65,6,"Architecture, Architectural Designs",Mixto,false
66,6,"Architecture, Designs For Town Planning",Mixto,false
67,6,"Architecture, Further Entries",Abierto,false
68,6,"Architecture, Unknown Event",Mixto,false
69,6,Literature,Abierto,false
70,6,Literature,Mixto,false
71,6,"Literature, Dramatic Works",Abierto,false
72,6,"Literature, Dramatic Works",Mixto,false
73,6,"Literature, Epic Works",Mixto,false
