evento_edicion_id,evento_id,edicion_id
1,1,58
2,2,58
3,3,60
4,4,60
5,5,58
6,6,58
7,7,15
8,8,26
9,8,40
10,8,42
11,9,16
12,9,22
13,10,40
14,10,42
15,11,16
16,12,16
17,13,16
18,13,22
19,13,42
20,13,44
21,13,45
22,13,47
23,13,49
24,13,51
25,13,53
26,13,55
27,13,57
28,13,59
29,14,16
30,14,22
31,14,42
32,14,44
33,14,45
34,14,47
35,14,49
36,14,51
37,14,53
38,14,55
39,14,57
40,14,59
41,15,22
42,15,24
43,15,26
44,15,28
45,15,30
46,15,32
47,15,34
48,15,36
49,15,38
50,15,40
51,15,42
52,15,44
53,15,45
54,15,47
55,15,49
56,15,51
57,15,53
58,15,55
59,15,57
60,15,59
61,16,22
62,16,24
63,16,26
64,16,28
65,16,30
66,16,32
67,16,34
68,16,36
69,16,38
70,16,40
71,16,42
72,16,44
73,16,45
74,16,47
75,16,49
76,16,51
77,16,53
78,16,55
79,16,57
80,16,59
81,17,22
82,18,24
83,18,26
84,18,28
85,18,30
86,18,32
87,18,34
88,18,36
89,18,38
90,18,40
91,18,42
92,18,44
93,18,45
94,18,47
95,18,49
96,18,51
97,18,53
98,18,55
99,18,57
100,18,59
101,19,24
102,19,26
103,19,28
104,19,30
105,19,32
106,19,34
107,19,36
108,19,38
109,19,40
110,19,42
111,19,44
112,19,45
113,19,47
114,19,49
115,19,51
116,19,53
117,19,55
118,19,57
119,19,59
120,20,16
121,20,22
122,21,16
123,21,22
124,22,59
125,23,22
126,23,24
127,23,26
128,23,28
129,23,30
130,23,32
131,23,34
132,23,36
133,23,38
134,23,40
135,23,42
136,23,44
137,23,45
138,23,47
139,23,49
140,23,51
141,23,53
142,23,55
143,23,57
144,23,59
145,24,22
146,24,24
147,24,26
148,24,28
149,24,30
150,24,32
151,24,34
152,24,36
153,24,38
154,24,40
155,24,42
156,24,44
157,24,45
158,24,47
159,24,49
160,24,51
161,24,53
162,24,55
163,24,57
164,24,59
165,25,42
166,25,44
167,25,45
168,25,47
169,25,49
170,25,51
171,25,53
172,25,55
173,25,57
174,25,59
175,26,42
176,26,44
177,26,45
178,26,47
179,26,49
180,26,51
181,26,53
182,26,55
183,26,57
184,26,59
185,27,57
186,27,59
187,28,16
188,29,10
189,29,13
190,29,15
191,30,2
192,31,2
193,32,2
194,33,2
195,34,2
196,35,5
197,36,3
198,37,3
199,38,3
200,38,5
201,39,3
202,39,5
203,40,3
204,41,3
205,42,2
206,43,33
207,43,35
208,43,37
209,43,39
210,43,41
211,43,43
212,43,46
213,43,48
214,43,50
215,43,52
216,43,54
217,43,56
218,43,58
219,43,60
220,44,33
221,44,35
222,44,37
223,44,39
224,44,41
225,44,43
226,44,46
227,44,48
228,44,50
229,44,52
230,44,54
231,44,56
232,44,58
233,44,60
234,45,8
235,46,8
236,47,8
237,48,8
238,49,2
239,50,2
240,51,8
241,52,8
242,53,8
243,54,8
244,55,8
245,56,8
246,57,41
247,57,43
248,57,46
249,57,48
250,57,50
251,57,52
252,57,54
253,57,56
254,57,58
255,57,60
256,58,41
257,58,43
258,58,46
259,58,48
260,58,50
261,58,52
262,58,54
263,58,56
264,58,58
265,58,60
266,59,58
267,59,60
268,60,3
269,61,3
270,62,2
271,63,9
272,63,23
273,64,6
274,64,8
275,64,9
276,65,11
277,65,13
278,65,15
279,65,21
280,66,11
281,66,13
282,66,15
283,66,21
284,67,11
285,67,13
286,67,21
287,68,13
288,68,15
289,68,21
290,69,6
291,69,9
292,69,13
293,70,6
294,70,8
295,70,9
296,70,13
297,71,15
298,72,11
299,72,21
300,73,11
301,73,15
302,73,21
303,74,11
304,74,15
305,75,11
306,75,15
307,75,21
308,76,15
309,76,21
310,77,6
311,77,8
312,77,9
313,77,13
314,78,21
315,79,11
316,79,15
317,79,21
318,80,11
319,80,15
320,81,11
321,81,15
322,81,21
323,82,15
324,83,21
325,84,6
326,84,8
327,84,9
328,85,15
329,86,15
330,86,21
331,87,11
332,87,13
333,87,15
334,88,11
335,88,13
336,88,15
337,89,11
338,89,13
339,89,15
340,90,11
341,90,13
342,90,15
343,90,21
344,91,11
345,91,13
346,91,15
347,92,11
348,92,13
349,92,15
350,92,21
351,93,13
352,94,13
353,94,15
354,94,21
355,95,9
356,96,6
357,96,8
358,96,9
359,97,15
360,98,15
361,99,21
362,100,13
363,101,11
364,101,13
365,102,15
366,102,21
367,103,13
368,104,11
369,104,13
370,104,15
371,104,21
372,105,13
373,105,21
374,106,13
375,106,15
376,106,21
377,107,13
378,109,1
379,110,5
380,111,5
381,112,5
382,113,2
383,114,2
384,115,2
385,116,5
386,117,5
387,119,58
388,119,60
389,120,58
390,120,60
391,121,23
392,121,25
393,121,27
394,121,29
395,121,31
396,121,33
397,121,35
398,121,37
399,121,39
400,121,41
401,121,43
402,121,46
403,121,48
404,121,50
405,121,52
406,121,54
407,121,56
408,121,58
409,121,60
410,122,3
411,122,13
412,124,6
413,125,8
414,127,2
415,128,2
416,129,2
417,130,2
418,131,23
419,131,25
420,131,27
421,131,29
422,131,31
423,131,33
424,131,35
425,131,37
426,131,39
427,131,41
428,131,43
429,131,46
430,131,48
431,131,50
432,131,52
433,131,54
434,131,56
435,131,58
436,131,60
437,132,13
438,132,15
439,132,21
440,132,23
441,132,25
442,132,27
443,132,29
444,132,31
445,132,33
446,132,35
447,132,37
448,132,39
449,132,41
450,132,43
451,132,46
452,132,48
453,132,50
454,132,52
455,132,54
456,132,56
457,132,58
458,132,60
459,133,1
460,134,1
461,134,3
462,134,9
463,134,11
464,134,13
465,134,15
466,134,21
467,134,23
468,134,25
469,134,27
470,134,29
471,134,31
472,134,33
473,134,35
474,134,37
475,134,39
476,134,41
477,134,43
478,134,46
479,134,48
480,134,50
481,134,52
482,134,54
483,134,56
484,134,58
485,134,60
486,135,1
487,136,23
488,136,25
489,136,27
490,136,29
491,136,31
492,136,33
493,136,35
494,136,37
495,136,39
496,136,41
497,136,43
498,136,46
499,136,48
500,136,50
501,136,52
502,136,54
503,136,56
504,136,58
505,137,1
506,137,3
507,137,9
508,137,11
509,137,13
510,137,15
511,137,21
512,137,23
513,137,25
514,137,27
515,137,29
516,137,31
517,137,33
518,137,35
519,137,37
520,137,39
521,137,41
522,137,43
523,137,46
524,137,48
525,137,50
526,137,52
527,137,54
528,137,56
529,137,58
530,138,60
531,139,60
532,140,23
533,140,25
534,140,27
535,140,29
536,140,31
537,140,33
538,140,35
539,140,37
540,140,39
541,140,41
542,140,43
543,140,46
544,140,48
545,140,50
546,140,52
547,140,54
548,140,56
549,140,58
550,141,2
551,141,3
552,141,4
553,141,5
554,141,6
555,141,8
556,141,9
557,141,11
558,141,13
559,141,15
560,141,21
561,141,23
562,141,25
563,141,27
564,141,29
565,141,31
566,141,33
567,141,35
568,141,37
569,141,39
570,141,41
571,141,43
572,141,46
573,141,48
574,141,50
575,141,52
576,141,54
577,141,56
578,141,58
579,142,3
580,143,4
581,144,3
582,145,3
583,146,6
584,148,1
585,148,6
586,149,6
587,150,1
588,151,1
589,152,1
590,152,3
591,152,9
592,152,11
593,152,13
594,152,15
595,152,21
596,152,23
597,152,25
598,152,27
599,152,29
600,152,31
601,152,33
602,152,35
603,152,37
604,152,39
605,152,41
606,152,43
607,152,46
608,152,48
609,152,50
610,152,52
611,152,54
612,152,56
613,152,58
614,152,60
615,153,1
616,154,6
617,156,1
618,156,5
619,157,58
620,157,60
621,158,1
622,158,9
623,158,11
624,158,13
625,158,15
626,158,21
627,158,23
628,158,25
629,158,27
630,158,29
631,158,31
632,158,33
633,158,35
634,158,37
635,158,39
636,158,41
637,158,43
638,158,46
639,158,48
640,158,50
641,158,52
642,158,54
643,158,56
644,158,58
645,159,1
646,159,3
647,159,9
648,159,11
649,159,13
650,159,15
651,159,21
652,159,23
653,159,25
654,159,27
655,159,29
656,159,31
657,159,33
658,159,35
659,159,37
660,159,39
661,159,41
662,159,43
663,159,46
664,159,48
665,159,50
666,159,52
667,159,54
668,159,56
669,159,58
670,159,60
671,160,1
672,161,1
673,161,3
674,161,4
675,161,9
676,161,13
677,162,6
678,163,1
679,164,3
680,164,9
681,165,6
682,167,58
683,167,60
684,168,58
685,168,60
686,169,11
687,169,15
688,169,21
689,169,23
690,169,25
691,169,27
692,169,29
693,169,31
694,169,33
695,169,35
696,169,37
697,169,39
698,169,41
699,169,43
700,169,46
701,169,48
702,169,50
703,169,52
704,169,54
705,169,56
706,169,58
707,170,3
708,170,4
709,170,5
710,170,6
711,170,8
712,170,9
713,170,11
714,170,13
715,170,15
716,170,21
717,170,23
718,170,25
719,170,27
720,170,29
721,170,31
722,170,33
723,170,35
724,170,37
725,170,39
726,170,41
727,170,43
728,170,46
729,170,48
730,170,50
731,170,52
732,170,54
733,170,56
734,170,58
735,171,6
736,171,8
737,172,6
738,172,8
739,173,23
740,173,25
741,174,1
742,175,13
743,176,23
744,176,25
745,176,27
746,176,29
747,176,31
748,176,33
749,176,35
750,176,37
751,176,39
752,176,41
753,176,43
754,176,46
755,176,48
756,176,50
757,176,52
758,176,54
759,176,56
760,176,58
761,176,60
762,177,58
763,177,60
764,178,58
765,178,60
766,179,60
767,180,39
768,180,41
769,180,43
770,180,48
771,180,50
772,180,52
773,180,54
774,180,56
775,180,58
776,181,58
777,182,39
778,182,41
779,182,43
780,183,58
781,183,60
782,184,46
783,184,48
784,184,50
785,184,52
786,184,54
787,184,56
788,184,58
789,185,1
790,186,33
791,186,35
792,186,37
793,186,39
794,186,41
795,186,43
796,186,46
797,186,48
798,186,50
799,186,52
800,186,54
801,186,56
802,186,58
803,187,1
804,187,2
805,187,3
806,187,4
807,187,5
808,187,6
809,187,8
810,187,9
811,187,11
812,187,13
813,187,15
814,187,21
815,187,23
816,187,25
817,187,27
818,187,29
819,187,31
820,187,33
821,187,35
822,187,37
823,187,39
824,187,41
825,187,43
826,187,46
827,187,48
828,187,50
829,187,52
830,187,54
831,187,56
832,187,58
833,188,2
834,190,4
835,191,5
836,192,3
837,193,3
838,194,3
839,195,41
840,195,43
841,195,46
842,195,48
843,195,50
844,195,52
845,195,54
846,195,56
847,195,58
848,196,6
849,196,8
850,196,9
851,196,11
852,196,13
853,196,15
854,196,21
855,196,23
856,196,25
857,196,27
858,196,29
859,196,31
860,196,33
861,196,35
862,196,37
863,196,39
864,196,41
865,196,43
866,196,46
867,196,48
868,196,50
869,196,52
870,196,54
871,196,56
872,196,58
873,197,58
874,197,60
875,198,58
876,198,60
877,199,43
878,199,46
879,200,6
880,200,8
881,200,9
882,200,21
883,200,23
884,201,43
885,201,46
886,202,6
887,202,8
888,202,9
889,202,21
890,202,23
891,203,5
892,204,5
893,205,11
894,205,13
895,205,15
896,205,21
897,205,23
898,205,25
899,205,27
900,205,29
901,205,31
902,205,33
903,205,35
904,205,37
905,205,39
906,205,41
907,205,43
908,205,46
909,205,48
910,205,50
911,205,52
912,205,54
913,205,56
914,205,58
915,206,1
916,206,2
917,206,3
918,206,4
919,206,5
920,206,6
921,206,8
922,206,9
923,206,11
924,206,13
925,206,15
926,206,21
927,206,23
928,206,25
929,206,27
930,206,29
931,206,31
932,206,33
933,206,35
934,206,37
935,206,39
936,206,41
937,206,43
938,206,46
939,206,48
940,206,50
941,206,52
942,206,54
943,206,56
944,206,58
945,207,6
946,208,1
947,209,2
948,210,33
949,210,35
950,210,37
951,210,39
952,210,41
953,210,43
954,210,46
955,210,48
956,210,50
957,210,52
958,210,54
959,210,56
960,210,58
961,211,3
962,212,3
963,213,58
964,213,60
965,214,58
966,214,60
967,215,58
968,215,60
969,216,1
970,216,2
971,216,3
972,216,4
973,216,5
974,216,6
975,216,8
976,216,9
977,216,11
978,216,13
979,216,15
980,216,21
981,216,23
982,216,25
983,216,27
984,216,29
985,216,31
986,216,33
987,216,35
988,216,37
989,216,39
990,216,41
991,216,43
992,216,46
993,216,48
994,216,50
995,216,52
996,216,54
997,216,56
998,216,58
999,217,2
1000,218,58
1001,218,60
1002,219,3
1003,220,3
1004,221,58
1005,221,60
1006,222,58
1007,222,60
1008,223,2
1009,224,2
1010,225,3
1011,226,3
1012,227,3
1013,228,48
1014,228,50
1015,228,52
1016,228,54
1017,228,56
1018,228,58
1019,229,25
1020,229,27
1021,229,29
1022,229,31
1023,229,33
1024,229,35
1025,229,37
1026,229,39
1027,229,41
1028,229,43
1029,229,46
1030,229,48
1031,229,50
1032,229,52
1033,229,54
1034,229,56
1035,229,58
1036,230,48
1037,230,50
1038,230,52
1039,230,54
1040,230,56
1041,231,25
1042,231,27
1043,231,29
1044,231,31
1045,231,33
1046,231,35
1047,231,37
1048,231,39
1049,231,41
1050,231,43
1051,231,46
1052,231,48
1053,231,50
1054,231,52
1055,231,54
1056,231,56
1057,232,21
1058,232,23
1059,232,25
1060,232,27
1061,232,29
1062,232,31
1063,232,33
1064,232,35
1065,232,37
1066,232,39
1067,232,41
1068,232,43
1069,232,46
1070,232,48
1071,232,50
1072,232,52
1073,232,54
1074,232,56
1075,232,58
1076,233,2
1077,233,3
1078,233,5
1079,233,6
1080,233,8
1081,233,9
1082,233,11
1083,233,13
1084,233,15
1085,233,21
1086,233,23
1087,233,25
1088,233,27
1089,233,29
1090,233,31
1091,233,33
1092,233,35
1093,233,37
1094,233,39
1095,233,41
1096,233,43
1097,233,46
1098,233,48
1099,233,50
1100,233,52
1101,233,54
1102,233,56
1103,233,58
1104,234,6
1105,235,2
1106,235,3
1107,236,58
1108,236,60
1109,237,58
1110,237,60
1111,238,58
1112,238,60
1113,239,58
1114,239,60
1115,240,3
1116,241,3
1117,242,3
1118,243,39
1119,243,41
1120,243,43
1121,244,8
1122,245,52
1123,245,54
1124,245,56
1125,245,58
1126,246,8
1127,246,9
1128,246,11
1129,246,13
1130,246,15
1131,246,21
1132,246,23
1133,246,25
1134,246,27
1135,246,29
1136,246,31
1137,246,33
1138,246,35
1139,246,37
1140,246,39
1141,246,41
1142,246,43
1143,246,46
1144,246,48
1145,246,50
1146,246,52
1147,246,54
1148,246,56
1149,246,58
1150,247,6
1151,247,8
1152,247,9
1153,248,4
1154,248,8
1155,249,5
1156,250,5
1157,251,5
1158,252,5
1159,253,5
1160,254,58
1161,254,60
1162,255,58
1163,255,60
1164,256,2
1165,257,11
1166,257,13
1167,257,15
1168,257,21
1169,257,23
1170,257,25
1171,257,27
1172,257,29
1173,257,31
1174,257,33
1175,257,35
1176,257,37
1177,257,39
1178,257,41
1179,257,43
1180,257,46
1181,257,48
1182,257,50
1183,257,52
1184,257,54
1185,257,56
1186,257,58
1187,258,6
1188,258,8
1189,258,9
1190,258,11
1191,258,13
1192,258,15
1193,258,21
1194,258,23
1195,258,25
1196,258,27
1197,258,29
1198,258,31
1199,258,33
1200,258,35
1201,258,37
1202,258,39
1203,258,41
1204,258,43
1205,258,46
1206,258,48
1207,258,50
1208,258,52
1209,258,54
1210,258,56
1211,258,58
1212,259,33
1213,259,35
1214,259,37
1215,259,39
1216,259,41
1217,259,43
1218,259,46
1219,259,48
1220,259,50
1221,259,52
1222,259,54
1223,259,56
1224,259,58
1225,260,6
1226,260,8
1227,260,9
1228,260,11
1229,260,13
1230,260,15
1231,260,21
1232,260,23
1233,260,25
1234,260,27
1235,260,29
1236,260,31
1237,260,33
1238,260,35
1239,260,37
1240,260,39
1241,260,41
1242,260,43
1243,260,46
1244,260,48
1245,260,50
1246,260,52
1247,260,54
1248,260,56
1249,260,58
1250,261,58
1251,262,3
1252,263,3
1253,264,11
1254,264,13
1255,264,15
1256,264,21
1257,264,23
1258,264,25
1259,264,27
1260,264,29
1261,264,31
1262,264,33
1263,264,35
1264,264,37
1265,264,39
1266,264,41
1267,264,43
1268,264,46
1269,264,48
1270,264,50
1271,264,52
1272,264,54
1273,264,56
1274,265,6
1275,265,8
1276,265,9
1277,265,11
1278,265,13
1279,265,15
1280,265,21
1281,265,23
1282,265,25
1283,265,27
1284,265,29
1285,265,31
1286,265,33
1287,265,35
1288,265,37
1289,265,39
1290,265,41
1291,265,43
1292,265,46
1293,265,48
1294,265,50
1295,265,52
1296,265,54
1297,265,56
1298,266,58
1299,266,60
1300,267,58
1301,267,60
1302,268,58
1303,269,58
1304,270,33
1305,270,35
1306,270,37
1307,270,39
1308,270,41
1309,270,43
1310,270,46
1311,270,48
1312,270,50
1313,270,52
1314,270,54
1315,270,56
1316,271,6
1317,271,8
1318,271,9
1319,271,11
1320,271,13
1321,271,15
1322,271,21
1323,271,23
1324,271,25
1325,271,27
1326,271,29
1327,271,31
1328,271,33
1329,271,35
1330,271,37
1331,271,39
1332,271,41
1333,271,43
1334,271,46
1335,271,48
1336,271,50
1337,271,52
1338,271,54
1339,271,56
1340,272,58
1341,272,60
1342,273,58
1343,273,60
1344,274,58
1345,274,60
1346,275,58
1347,276,58
1348,277,58
1349,278,29
1350,278,31
1351,278,33
1352,278,35
1353,278,37
1354,278,39
1355,278,41
1356,278,43
1357,278,46
1358,278,48
1359,278,50
1360,278,52
1361,278,54
1362,278,56
1363,278,58
1364,279,1
