participacion_id,evento_edicion_id,noc_codigo,medalla_id,nombre_equipo,es_por_equipos,puesto,puesto_texto,empatado
1,7932,FRA,,,false,17,17.0,true
2,7873,FRA,,Jean Montariol,true,,,false
3,7933,FRA,,,false,32,32.0,true
4,7889,FRA,,Jeanne Vaussard,true,8,8.0,true
5,7874,FRA,,Jacques Brugnon,true,4,4.0,false
6,7938,FRA,,,false,17,17.0,true
7,7878,FRA,,Guillaume Raoux,true,17,17.0,true
8,7934,FRA,,,false,4,4.0,false
9,7890,FRA,,Marguerite Billout,true,15,15.0,true
10,7875,FRA,3,René Lacoste,true,3,3.0,false
11,7933,FRA,,,false,9,9.0,true
12,7874,FRA,,Jean-François Blanchy,true,4,4.0,false
13,7875,FRA,2,Henri Cochet,true,2,2.0,false
14,7932,FRA,,,false,17,17.0,true
15,7888,FRA,3,Marguerite Broquedis,true,3,3.0,false
16,7873,FRA,3,Édouard Mény de Marangue,true,3,3.0,false
17,7766,FRA,,,false,33,33.0,true
18,7748,FRA,,Patrick Chila,true,17,17.0,true
19,7748,FRA,,Nicolas Chatelain,true,17,17.0,true
20,7767,FRA,,,false,9,9.0,true
21,7749,FRA,,Christophe Legoût,true,9,9.0,true
22,7750,FRA,3,Jean-Philippe Gatien,true,3,3.0,false
23,7769,FRA,,,false,17,17.0,true
24,7770,FRA,,,false,49,49.0,true
25,7934,FRA,2,,false,2,2.0,false
26,7890,FRA,,Suzanne Lenglen,true,,,false
27,7875,FRA,2,Jacques Brugnon,true,2,2.0,false
28,7934,FRA,,,false,17,17.0,true
29,7869,FRA,3,André Prévost,true,3,3.0,true
30,7951,FRA,,,false,5,5.0,true
31,7898,FRA,,Gonzalo de Candamo,true,3,3.0,true
32,4356,FRA,,,false,1,1.0,false
33,4342,FRA,,"Guy, Baron Lejeune",true,5,5.0,true
34,4344,FRA,,Charlotte Cooper,true,5,5.0,true
35,4623,FRA,,,false,17,17.0,true
36,4343,FRA,,"Guy, Baron Lejeune",true,5,5.0,true
37,7928,FRA,,,false,,,false
38,7869,FRA,2,Spalding de Garmendia,true,2,2.0,false
39,7898,FRA,,Spalding de Garmendia,true,1,1.0,false
40,7931,FRA,,,false,,,false
41,7872,FRA,,Maurice Germot,true,,,false
42,7897,FRA,,Marie Decugis,true,,,false
43,7949,FRA,,,false,,,false
44,7933,FRA,,,false,17,17.0,true
45,7889,FRA,1,Suzanne Lenglen,true,1,1.0,false
46,7874,FRA,3,Pierre Albarran,true,3,3.0,false
47,7927,FRA,,,false,8,8.0,true
48,7868,FRA,,André Vacherot,true,,,false
49,7928,FRA,,,false,8,8.0,true
50,7869,FRA,,Adrien Fauchier-Magnan,true,5,5.0,true
51,7951,FRA,,,false,9,9.0,true
52,7898,FRA,,Adrien Fauchier-Magnan,true,3,3.0,true
53,7748,FRA,,Jean-Philippe Gatien,true,5,5.0,true
54,7749,FRA,,Jean-Philippe Gatien,true,5,5.0,true
55,7768,FRA,,,false,9,9.0,true
56,7750,FRA,,Christophe Legoût,true,5,5.0,true
57,7770,FRA,,,false,33,33.0,true
58,7869,FRA,,Étienne Durand,true,5,5.0,true
59,7898,FRA,,Étienne Durand,true,3,3.0,true
60,7935,FRA,,,false,5,5.0,true
61,7936,FRA,,,false,9,9.0,true
62,7876,FRA,,Henri Leconte,true,5,5.0,true
63,7937,FRA,,,false,17,17.0,true
64,7877,FRA,,Henri Leconte,true,9,9.0,true
65,7765,FRA,,,false,33,33.0,true
66,7747,FRA,,Patrick Birocheau,true,17,17.0,true
67,7766,FRA,2,,false,2,2.0,false
68,7748,FRA,,Damien Éloi,true,5,5.0,true
69,7767,FRA,,,false,17,17.0,true
70,7749,FRA,,Damien Éloi,true,5,5.0,true
71,7768,FRA,,,false,17,17.0,true
72,7750,FRA,3,Patrick Chila,true,3,3.0,false
73,7899,FRA,,Katie Gilou,true,2,2.0,false
74,7951,FRA,,,false,9,9.0,true
75,7898,FRA,,Finger,true,2,2.0,false
76,7931,FRA,,,false,5,5.0,true
77,7872,FRA,,Max Decugis,true,,,false
78,7949,FRA,,,false,9,9.0,true
79,7896,FRA,1,André Gobert,true,1,1.0,false
80,7949,FRA,1,,false,1,1.0,false
81,7896,FRA,1,Maurice Germot,true,1,1.0,false
82,7889,FRA,,Élisabeth d'Ayen,true,8,8.0,true
83,7934,FRA,,,false,5,5.0,true
84,7875,FRA,3,Jean Borotra,true,3,3.0,false
85,7932,FRA,,,false,,,false
86,7873,FRA,,Jean-Pierre Samazeuilh,true,,,false
87,7874,FRA,,Jean-Pierre Samazeuilh,true,9,9.0,true
88,7928,FRA,,,false,8,8.0,true
89,7869,FRA,,Paul Lecaron,true,5,5.0,true
90,7951,FRA,,,false,9,9.0,true
91,7898,FRA,,Paul Lecaron,true,3,3.0,true
92,7928,FRA,,,false,5,5.0,true
93,7869,FRA,,Paul Lebreton,true,5,5.0,true
94,7951,FRA,,,false,5,5.0,true
95,7898,FRA,,Paul Lebreton,true,3,3.0,true
96,7936,FRA,,,false,17,17.0,true
97,7876,FRA,,Guy Forget,true,5,5.0,true
98,7937,FRA,,,false,17,17.0,true
99,7877,FRA,,Guy Forget,true,9,9.0,true
100,7749,FRA,,Patrick Chila,true,9,9.0,true
101,7768,FRA,,,false,9,9.0,true
102,7750,FRA,,Damien Éloi,true,5,5.0,true
103,7770,FRA,,,false,49,49.0,true
104,7869,FRA,,"Élie, Comte de Lastours",true,5,5.0,true
105,7951,FRA,,,false,9,9.0,true
106,7898,FRA,,"Élie, Comte de Lastours",true,5,5.0,true
107,7908,FRA,,,false,2,2.0,false
108,7928,FRA,,,false,8,8.0,true
109,7951,FRA,,,false,,,false
110,7932,FRA,,,false,31,31.0,true
111,7873,FRA,3,Albert Canet,true,3,3.0,false
112,7928,FRA,,,false,8,8.0,true
113,7869,FRA,3,Guy de la Chapelle,true,3,3.0,true
114,7899,FRA,,Yvonne Prévost,true,1,1.0,false
115,7951,FRA,,,false,1,1.0,false
116,7898,FRA,,Reggie Doherty,true,5,5.0,true
117,7938,FRA,,,false,33,33.0,true
118,7878,FRA,,Arnaud Boetsch,true,17,17.0,true
119,2192,FRA,,,false,33,33.0,true
120,7932,FRA,,,false,,,false
121,7873,FRA,,Daniel Lawton,true,,,false
122,7933,FRA,,,false,17,17.0,true
123,7874,FRA,,Daniel Lawton,true,9,9.0,true
124,7937,FRA,,,false,5,5.0,true
125,7939,FRA,,,false,9,9.0,true
126,7940,FRA,,,false,17,17.0,true
127,7880,FRA,,Michaël Llodra,true,5,5.0,true
128,2193,FRA,,,false,33,33.0,true
129,7886,FRA,,Antoinette Gilou,true,5,5.0,true
130,7899,FRA,,Antoinette Gilou,true,5,5.0,true
131,7951,FRA,,,false,9,9.0,true
132,7898,FRA,,Archibald Warden,true,2,2.0,false
133,7897,GBR,2,Roper Barrett,true,2,2.0,false
134,7947,GBR,,,false,5,5.0,true
135,7914,GBR,,,false,9,9.0,true
136,7889,GBR,,Alfred Beamish,true,8,8.0,true
137,7856,GBR,2,Dorothy Holman,true,2,2.0,false
138,7912,GBR,2,,false,2,2.0,false
139,7946,GBR,,,false,5,5.0,true
140,2150,GBR,,Gillian Clark,true,5,5.0,true
141,2170,GBR,,Simon Archer,true,17,17.0,true
142,2151,GBR,,Joanne Wright,true,9,9.0,true
143,2150,GBR,,Julie Bradbury,true,5,5.0,true
144,7946,GBR,,,false,5,5.0,true
145,7857,GBR,3,Dorothy Shepherd-Barron,true,3,3.0,false
146,7910,GBR,1,,false,1,1.0,false
147,7886,GBR,1,Reggie Doherty,true,1,1.0,false
148,7899,GBR,,"Élie, Comte de Lastours",true,5,5.0,true
149,7950,GBR,,,false,2,2.0,false
150,7912,GBR,,,false,,,false
151,7915,GBR,,,false,9,9.0,true
152,7890,GBR,,Leslie Godfree,true,5,5.0,true
153,7857,GBR,2,Kitty McKane,true,2,2.0,false
154,7946,GBR,1,,false,1,1.0,false
155,7917,GBR,,,false,17,17.0,true
156,7858,GBR,,Clare Wood,true,9,9.0,true
157,7918,GBR,,,false,33,33.0,true
158,7756,GBR,,,false,17,17.0,true
159,2150,GBR,,Sara Sankey,true,9,9.0,true
160,7912,GBR,,,false,5,5.0,false
161,7946,GBR,2,,false,2,2.0,false
162,7897,GBR,1,Charles Dixon,true,1,1.0,false
163,7947,GBR,1,,false,1,1.0,false
164,7914,GBR,2,,false,2,2.0,false
165,7889,GBR,,Gordon Lowe,true,14,14.0,true
166,7856,GBR,2,Geraldine Beamish,true,2,2.0,false
167,7743,GBR,,Lisa Lomas,true,9,9.0,true
168,7744,GBR,,Lisa Lomas,true,17,17.0,true
169,7918,GBR,,,false,33,33.0,true
170,7860,GBR,,Clare Wood,true,5,5.0,true
171,7912,GBR,1,,false,1,1.0,false
172,7946,GBR,,,false,,,false
173,7756,GBR,,,false,33,33.0,true
174,7743,GBR,,Andrea Holt,true,9,9.0,true
175,7757,GBR,,,false,33,33.0,true
