edicion_id,ciudad_id,es_principal
1,4,true
2,27,true
3,37,true
4,4,true
5,18,true
6,38,true
8,3,true
9,27,true
10,10,true
11,2,true
12,31,true
13,19,true
14,16,true
15,8,true
16,12,true
21,18,true
22,31,true
23,14,true
24,26,true
25,20,true
25,38,false
26,11,true
27,29,true
28,36,true
29,40,true
30,15,true
31,21,true
32,13,true
33,24,true
34,32,true
35,22,true
36,15,true
37,23,true
38,16,true
39,19,true
40,33,true
41,34,true
42,9,true
43,6,true
44,1,true
45,17,true
46,5,true
47,25,true
48,39,true
49,30,true
50,4,true
51,41,true
52,7,true
53,42,true
54,18,true
55,35,true
56,28,true
58,40,true
60,27,true
