ciudad_id,pais_id,nombre
1,64,Albertville
2,129,Amsterdam
3,19,Antwerpen
4,70,Athina
5,192,Atlanta
6,172,Barcelona
7,40,Beijing
8,68,Berlin
9,34,Calgary
10,64,Chamonix
11,87,Cortina d'Ampezzo
12,68,Garmisch-Partenkirchen
13,64,Grenoble
14,63,Helsinki
15,12,Innsbruck
16,192,Lake Placid
17,135,Lillehammer
18,191,London
19,192,Los Angeles
20,11,Melbourne
21,117,Mexico City
22,34,Montreal
23,151,Moskva
24,68,Munich
25,90,Nagano
26,135,Oslo
27,64,Paris
28,27,Rio de Janeiro
29,87,Roma
30,192,Salt Lake City
31,178,Sankt Moritz
32,90,Sapporo
33,25,Sarajevo
34,170,Seoul
35,151,Sochi
36,192,Squaw Valley
37,192,St. Louis
38,177,Stockholm
39,11,Sydney
40,90,Tokyo
41,87,Torino
42,34,Vancouver
