deporte_id,nombre
1,Air Sports
2,Aquatics
3,Archery
4,Art Competitions
5,Athletics
6,Australian Rules Football
7,Badminton
8,Bandy
9,Baseball/Softball
10,Basketball
11,Basque pelota
12,Biathlon
13,Bobsleigh
14,Boxing
15,Breaking
16,Canoeing
17,Cricket
18,Croquet
19,Curling
20,Cycling
21,Equestrian
22,Fencing
23,Football
24,Glíma
25,Golf
26,Gymnastics
27,Handball
28,Hockey
29,Ice Hockey
30,Jeu De Paume
31,Judo
32,Karate
33,Lacrosse
34,Luge
35,Mixed Sports
36,Modern Pentathlon
37,Motorboating
38,Polo
39,Racquets
40,Roller Sports
41,Roque
42,Rowing
43,Rugby
44,Sailing
45,Savate
46,Shooting
47,Skating
48,Skiing
49,Sport Climbing
50,Surfing
51,Table Tennis
52,Taekwondo
53,Tennis
54,Triathlon
55,Tug-Of-War
56,Volleyball
57,Weightlifting
58,Winter Pentathlon
59,Wrestling
