evento_id,disciplina_id,nombre,categoria_sexo,es_por_equipos
1,82,Singles,M,true
2,82,Doubles,M,true
3,82,Doubles,Mixto,true
4,80,Singles,M,true
5,80,Doubles,M,true
6,82,"Singles, Handicap, Men (Olympic (non-medal))",Abierto,false
7,82,"Doubles, Handicap, Men (Olympic (non-medal))",Abierto,false
8,39,"Épée, Individual",M,false
9,39,Tennis,Abierto,false
10,39,Doubles,M,false
11,39,"Doubles, Handicap, Mixed (Olympic (non-medal))",Abierto,false
12,39,"Singles, Handicap, Men (Olympic (non-medal))",Abierto,false
13,39,"Doubles, Handicap, Men (Olympic (non-medal))",Abierto,false
14,82,"Doubles, Covered Courts",Mixto,true
15,82,"Singles, Covered Courts",M,false
16,82,"Singles, Men (Olympic (non-medal))",Abierto,false
17,82,"Doubles, Handicap, Mixed (Olympic (non-medal))",Abierto,false
18,82,"Doubles, Covered Courts",M,true
19,82,Polo,Abierto,false
20,82,"Polo, Men (Olympic (non-medal))",Abierto,false
21,9,Singles,M,false
22,82,"Singles, Covered Courts",F,false
23,82,Singles,F,true
24,82,Doubles,F,true
25,9,Doubles,F,true
26,9,Doubles,Mixto,true
27,82,"Singles, Handicap, Women (Olympic (non-medal))",Abierto,false
28,80,Singles,F,false
29,80,Doubles,F,true
30,9,Singles,F,true
31,9,Doubles,M,true
32,9,"Singles, Men (Olympic (non-medal))",Abierto,false
33,82,"Singles, Women (Olympic (non-medal))",Abierto,false
34,80,Team,F,true
35,82,"Doubles, Men (Olympic (non-medal))",Abierto,true
36,46,Hockey,M,true
37,46,Tennis,Abierto,false
38,46,Singles,M,false
39,46,Doubles,M,false
40,7,100 metres,M,false
41,7,400 metres,M,false
42,7,800 metres,M,false
43,7,110 metres Hurdles,M,true
44,7,High Jump,M,true
45,7,Pole Vault,M,true
46,7,Long Jump,M,false
47,7,Triple Jump,M,false
48,7,Tennis,Abierto,true
49,7,Singles,M,false
50,7,Doubles,M,false
51,80,Team,M,true
52,82,Swimming,Abierto,false
53,82,100 metres Freestyle,M,false
54,82,500 metres Freestyle,M,false
55,82,"1,200 metres Freestyle",M,false
56,4,Architecture,Abierto,false
57,82,Weightlifting,Abierto,false
58,82,"Unlimited, Two Hands",M,false
59,82,Wrestling,Abierto,false
60,82,"Unlimited Class, Greco-Roman",M,false
61,82,Athletics,Abierto,false
62,82,Pole Vault,M,false
63,82,Long Jump,M,false
64,82,Shot Put,M,false
65,56,Individual,M,false
66,56,Team,M,true
67,3,Individual,M,false
68,3,Individual,F,false
69,3,Team,F,true
70,3,Team,M,true
71,3,"Target Archery, 28 metres, Team",M,true
72,3,"Target Archery, 33 metres, Team",M,true
73,3,"Target Archery, 50 metres, Team",M,true
74,3,"Pole Archery, Small Birds, Individual",M,false
75,3,"Pole Archery, Large Birds, Individual",M,false
76,3,"Pole Archery, Small Birds, Team",M,true
77,3,"Pole Archery, Large Birds, Team",M,true
78,3,Sur La Perche À La Herse,M,false
79,3,"Au Chapelet, 33 metres",M,false
80,3,"Au Chapelet, 50 metres",M,false
81,3,"Au Cordon Doré, 33 metres",M,false
82,3,"Au Cordon Doré, 50 metres",M,false
83,3,Championnat Du Monde,M,false
84,3,"Target Archery, 28 metres, Individual",M,false
85,3,"Target Archery, 33 metres, Individual",M,false
86,3,"Target Archery, 50 metres, Individual",M,false
87,3,Continental Style,M,false
88,3,Double York Round,M,false
89,3,Sur La Perche À La Pyramide,M,false
90,3,"French Championship, Individual, Men (Olympic (non-medal))",Abierto,false
91,3,Double National Round,F,false
92,7,"1,500 metres",M,false
93,7,Marathon,M,true
94,9,"Doubles, Women (Olympic (non-medal))",Abierto,true
95,9,"Doubles, Men (Olympic (non-medal))",Abierto,true
96,9,"Singles, Women (Olympic (non-medal))",Abierto,false
97,9,"Doubles, Mixed (Olympic (non-medal))",Abierto,false
98,19,Welterweight,M,true
99,19,Light-Heavyweight,M,false
100,19,Featherweight,M,false
101,19,Light-Welterweight,M,false
102,19,Flyweight,M,false
103,19,Lightweight,M,false
104,19,Heavyweight,M,false
105,19,Bantamweight,M,true
106,19,Light-Flyweight,M,false
107,19,Middleweight,M,true
108,19,Light-Middleweight,M,false
109,19,Super-Heavyweight,M,false
110,74,Softball,F,true
111,12,Baseball,M,true
112,12,"Baseball, Men (Olympic (non-medal))",Abierto,false
113,3,Team,Mixto,true
114,3,Double Columbia Round,F,false
115,3,Team Round,F,true
116,3,"Flight Shooting, Women (Olympic (non-medal))",Abierto,false
117,3,Double American Round,M,false
118,3,Team Round,M,true
119,3,"Flight Shooting, Men (Olympic (non-medal))",Abierto,false
120,66,8 metres,Abierto,true
121,66,Tennis,Abierto,false
122,66,Singles,M,false
123,66,Doubles,Mixto,false
124,66,Doubles,M,false
125,66,"Singles, Covered Courts",M,false
126,66,"Doubles, Covered Courts",M,false
127,4,"Painting, Unknown Event",Abierto,false
128,44,Individual,M,false
129,44,"Individual, Men (Olympic (non-medal))",Abierto,false
130,44,Tennis,Abierto,true
131,44,Doubles,M,false
132,44,Team,M,true
133,44,"Team, Men (Olympic (non-medal))",Abierto,true
134,44,Singles,M,false
135,44,"Singles, Men (Olympic (non-medal))",Abierto,false
136,44,"Doubles, Men (Olympic (non-medal))",Abierto,false
137,44,"Individual, Handicap, Men (Olympic (non-medal))",Abierto,false
138,44,Doubles,Mixto,false
139,44,"Doubles, Handicap, Mixed (Olympic (non-medal))",Abierto,false
140,44,"Doubles, Handicap, Men (Olympic (non-medal))",Abierto,false
141,44,"Singles, Handicap, Men (Olympic (non-medal))",Abierto,false
142,48,Singles,M,false
143,82,"Long Jump, Men (Olympic (non-medal))",Abierto,false
144,82,"Long Jump, Handicap, Men (Olympic (non-medal))",Abierto,false
145,82,Golf,Abierto,false
146,82,Individual,M,false
147,13,Basketball,M,true
148,31,"Road Race, Individual",M,true
149,13,Basketball,F,true
150,7,Triple Jump,F,false
151,45,Handball,F,true
152,8,"Australian Rules Football, Men (Olympic (non-medal))",Abierto,false
153,66,One Person Dinghy,Abierto,false
154,7,Decathlon,M,false
155,18,Four,M,true
156,19,Football,Abierto,false
157,19,Football,M,false
158,19,Athletics,Abierto,false
159,19,"100 yards, Men (Olympic (non-medal))",Abierto,false
160,19,"440 yards, Men (Olympic (non-medal))",Abierto,false
161,19,"100 yards, Handicap, Men (Olympic (non-medal))",Abierto,false
162,19,"220 yards, Handicap, Men (Olympic (non-medal))",Abierto,true
163,19,"440 yards, Handicap, Men (Olympic (non-medal))",Abierto,false
164,23,"Kayak Doubles, 500 metres",F,true
165,23,"Kayak Singles, 500 metres",F,false
166,23,"Kayak Doubles, 500 metres",M,true
167,23,"Kayak Fours, 1,000 metres",M,true
168,23,"Kayak Singles, 500 metres",M,false
169,23,"Kayak Doubles, 1,000 metres",M,true
170,23,"Kayak Singles, 1,000 metres",M,false
171,22,"Kayak Singles, Slalom",M,false
172,23,"Kayak Fours, 500 metres",F,true
173,22,"Kayak Singles, Slalom",F,false
174,21,"Kayak Singles, 10,000 metres",M,false
175,22,"Canadian Singles, Slalom",M,false
176,23,Canoe Marathon,Abierto,true
177,23,"Kayak Doubles, 10,000 metres",M,true
178,23,"Kayak Relay, 4 × 500 metres",M,true
179,22,"Canadian Doubles, Slalom",M,true
180,23,"Canadian Singles, 1,000 metres",M,false
181,23,"Canadian Singles, 10,000 metres",M,false
182,23,"Canadian Doubles, 1,000 metres",M,true
183,23,"Canadian Doubles, 10,000 metres",M,true
184,23,"Folding Kayak Doubles, 10,000 metres",M,false
185,23,"Folding Kayak Singles, 10,000 metres",M,false
186,21,"Kayak Doubles, 10,000 metres",M,true
187,23,"Kayak Singles, 10,000 metres",M,false
188,21,"Folding Kayak Singles, 10,000 metres",M,false
189,21,"Folding Kayak Doubles, 10,000 metres",M,true
190,23,"Canadian Singles, 500 metres",M,false
191,23,"Canadian Doubles, 500 metres",M,true
192,68,"Small-Bore Rifle, Prone, 50 metres",Abierto,false
193,21,"Canadian Doubles, 10,000 metres",M,true
194,21,"Canadian Singles, 10,000 metres",M,false
195,63,Single Sculls,F,false
196,32,"Team Pursuit, 4,000 metres",M,true
197,31,"Road Race, Team",M,true
198,31,100 kilometres Team Time Trial,M,true
199,59,Polo,M,true
200,64,Rugby,M,true
201,63,Eights,M,true
202,34,Individual,Abierto,false
203,34,Team,Abierto,true
204,36,Team,Abierto,true
205,36,Individual,Abierto,false
206,37,Individual,Abierto,false
207,37,Team,Abierto,true
208,85,Tug-Of-War,M,true
209,51,Lacrosse,M,true
210,34,Hacks and Hunter Combined,Abierto,false
211,33,Springboard,F,false
212,37,Individual,M,false
213,37,Team,M,true
214,36,Individual,M,false
215,36,Team,M,true
216,34,Individual,M,false
217,34,Team,M,true
218,37,Equestrian Eventing,Abierto,true
