evento_edicion_id,evento_id,edicion_id
1,1,6
2,2,6
3,1,8
4,3,8
5,2,8
6,1,46
7,2,46
8,1,10
9,3,10
10,2,10
11,3,6
12,4,44
13,5,44
14,4,46
15,5,46
16,5,48
17,4,50
18,4,52
19,2,2
20,6,2
21,7,2
22,8,2
23,9,2
24,10,2
25,11,2
26,12,2
27,13,2
28,1,2
29,1,5
30,2,5
31,14,6
32,15,6
33,1,1
34,2,1
35,4,48
36,16,40
37,1,42
38,2,42
39,1,44
40,2,44
41,4,42
42,5,42
43,17,2
44,18,6
45,19,2
46,20,2
47,21,44
48,1,48
49,1,50
50,2,50
51,21,46
52,3,2
53,22,6
54,23,8
55,24,8
56,23,5
57,22,5
58,25,44
59,26,46
60,25,46
61,24,10
62,23,2
63,27,2
64,23,10
65,23,42
66,24,42
67,23,44
68,28,44
69,29,44
70,29,46
71,24,46
72,28,46
73,30,46
74,30,48
75,30,50
76,30,44
77,24,44
78,23,46
79,26,48
80,25,48
81,31,46
82,31,48
83,15,5
84,18,5
85,31,44
86,32,42
87,21,48
88,33,40
89,23,6
90,28,42
91,29,42
92,29,48
93,28,50
94,29,50
95,28,52
96,34,52
97,28,48
98,1,3
99,16,3
100,2,3
101,35,3
102,2,48
103,36,5
104,37,5
105,38,5
106,39,5
107,5,50
108,40,1
109,41,1
110,42,1
111,43,1
112,44,1
113,45,1
114,46,1
115,47,1
116,48,1
117,49,1
118,50,1
119,24,50
120,51,52
121,4,55
122,52,1
123,53,1
124,54,1
125,55,1
126,28,55
127,56,10
128,57,1
129,58,1
130,59,1
131,60,1
132,61,1
133,62,1
134,63,1
135,64,1
136,24,48
137,65,40
138,66,40
139,25,50
140,31,50
141,26,52
142,2,52
143,2,55
144,3,55
145,2,58
146,67,42
147,68,36
148,68,46
149,68,50
150,69,50
151,68,34
152,68,38
153,68,40
154,67,36
155,67,40
156,70,42
157,67,38
158,67,44
159,70,44
160,67,46
161,70,46
162,67,48
163,70,48
164,67,50
165,70,50
166,67,52
167,70,52
168,67,34
169,71,8
170,72,8
171,73,8
172,74,8
173,75,8
174,76,8
175,77,8
176,78,2
177,79,2
178,80,2
179,81,2
180,82,2
181,83,2
182,84,8
183,85,8
184,86,8
185,68,44
186,69,44
187,68,48
188,68,42
189,69,46
190,69,48
191,69,42
192,87,5
193,88,5
194,89,2
195,90,2
196,68,52
197,68,55
198,69,55
199,91,5
200,69,52
201,67,55
202,70,55
203,24,52
204,92,1
205,93,1
206,51,55
207,23,48
208,36,12
209,4,58
210,23,50
211,26,50
212,94,42
213,23,52
214,95,42
215,96,42
216,1,52
217,97,42
218,28,58
219,28,61
220,51,58
221,98,36
222,98,38
223,98,32
224,99,42
225,100,42
226,100,44
227,98,34
228,101,36
229,102,34
230,102,36
231,100,34
232,103,38
233,102,38
234,104,26
235,100,24
236,103,24
237,100,32
238,103,34
239,101,28
240,105,30
241,98,28
242,99,30
243,106,34
244,107,24
245,108,26
246,102,30
247,104,30
248,104,32
249,107,28
250,100,36
251,105,28
252,103,30
253,103,32
254,105,38
255,104,42
256,109,44
257,105,32
258,108,24
259,99,28
260,99,32
261,99,34
262,108,34
263,108,36
264,108,38
265,108,42
266,103,28
267,99,36
268,104,38
269,109,42
270,101,32
271,102,44
272,102,46
273,101,46
274,104,34
275,104,36
276,103,42
277,102,42
278,105,44
279,100,46
280,103,44
281,103,46
282,107,44
283,103,36
284,103,40
285,98,40
286,98,42
287,100,30
288,101,30
289,108,28
290,103,12
291,103,26
292,99,10
293,109,46
294,107,10
295,98,22
296,99,44
297,100,10
298,98,24
299,102,14
300,98,16
301,99,12
302,107,12
303,99,26
304,105,22
305,108,44
306,104,46
307,98,30
308,104,40
309,107,40
310,102,40
311,108,46
312,104,22
313,106,44
314,106,46
315,103,14
316,107,36
317,105,12
318,105,8
319,103,10
320,101,42
321,105,14
322,103,22
323,105,34
324,102,32
325,107,8
326,107,26
327,105,36
328,104,44
329,107,22
330,101,24
331,100,14
332,98,26
333,98,46
334,105,16
335,105,46
336,101,40
337,107,14
338,101,44
339,98,10
340,109,40
341,102,10
342,98,14
343,100,28
344,107,42
345,100,16
346,102,12
347,101,26
348,104,14
349,106,36
350,100,8
351,103,8
352,108,40
353,106,42
354,100,40
355,99,46
356,99,48
357,102,22
358,104,24
359,100,22
360,98,8
361,99,16
362,98,12
363,101,48
364,107,46
365,102,8
366,100,12
367,105,40
368,99,38
369,105,26
370,108,32
371,103,16
372,102,16
373,107,30
374,105,10
375,107,32
376,107,16
377,102,48
378,101,38
379,100,38
380,99,40
381,105,42
382,110,46
383,110,48
384,110,50
385,110,52
386,111,46
387,111,48
388,112,42
389,111,50
390,111,44
391,111,52
392,112,40
393,106,40
394,101,34
395,100,48
396,98,50
397,106,32
398,107,38
399,98,44
400,108,48
401,107,34
402,106,38
403,106,48
404,109,48
405,104,48
406,102,28
407,99,8
408,108,30
409,103,5
410,104,16
411,99,22
412,99,14
413,104,10
414,104,12
415,104,8
416,102,24
417,105,24
418,99,24
419,113,61
420,67,61
421,114,3
422,91,3
423,115,3
424,116,3
425,117,3
426,88,3
427,118,3
428,119,3
429,31,52
430,34,55
431,24,58
432,120,6
433,121,6
434,122,6
435,123,6
436,124,6
437,125,6
438,126,6
439,21,52
440,127,14
441,128,3
442,129,3
443,130,3
444,131,3
445,132,3
446,133,3
447,134,3
448,135,3
449,136,3
450,128,2
451,137,2
452,130,2
453,134,2
454,138,2
455,131,2
456,139,2
457,140,2
458,141,2
459,142,5
460,61,3
461,143,3
462,144,3
463,145,2
464,146,2
465,147,26
466,147,32
467,147,34
468,147,38
469,147,40
470,147,24
471,147,36
472,147,28
473,147,30
474,147,44
475,147,16
476,104,28
477,100,26
478,107,5
479,105,48
480,100,5
481,102,26
482,105,5
483,147,46
484,147,48
485,147,42
486,147,22
487,104,5
488,107,48
489,103,48
490,98,48
491,148,48
492,148,50
493,101,50
494,102,50
495,149,44
496,149,46
497,149,36
498,149,42
499,149,38
500,149,40
501,149,50
502,149,48
503,150,48
504,150,50
505,150,52
506,149,52
507,151,48
508,99,50
509,147,50
510,152,26
511,153,36
512,147,52
513,154,28
514,147,55
515,107,50
516,100,50
517,104,3
518,100,3
519,103,3
520,102,3
521,155,13
522,98,3
523,105,3
524,156,3
525,157,3
526,158,3
527,159,3
528,160,3
529,161,3
530,162,3
531,163,3
532,107,3
533,164,42
534,165,42
535,166,46
536,167,42
537,166,44
538,167,44
539,166,42
540,168,46
541,169,46
542,168,48
543,170,48
544,168,50
545,170,50
546,171,44
547,170,46
548,169,48
549,168,40
550,170,40
551,170,42
552,165,40
553,165,30
554,164,30
555,165,26
556,172,44
557,173,46
558,172,46
559,164,36
560,164,28
561,172,48
562,164,44
563,165,28
564,173,44
565,173,48
566,167,46
567,174,26
568,167,38
569,175,46
570,169,26
571,176,26
572,177,26
573,170,28
574,178,28
575,170,30
576,167,30
577,167,32
578,169,44
579,166,48
580,169,50
581,167,40
582,175,44
583,179,46
584,169,42
585,167,34
586,166,40
587,167,36
588,169,28
589,180,26
590,181,26
591,168,42
592,168,44
593,169,30
594,169,34
595,182,26
596,183,26
597,182,30
598,166,38
599,169,40
600,171,46
601,167,48
602,179,44
603,180,28
604,170,32
605,169,32
606,169,36
607,170,44
608,166,50
609,166,52
610,167,52
611,170,34
612,166,36
613,170,26
614,168,38
615,170,38
616,180,30
617,165,24
618,165,44
619,165,46
620,165,48
621,173,34
622,165,22
623,182,28
624,169,16
625,176,16
626,184,16
627,169,22
628,169,38
629,170,16
630,185,16
631,186,16
632,176,22
633,187,22
634,171,48
635,174,16
636,182,24
637,180,22
638,182,22
639,181,22
640,183,22
641,179,34
642,180,16
643,171,50
644,171,52
645,171,55
646,170,36
647,170,22
648,177,22
649,171,34
650,182,16
651,183,16
652,169,24
653,176,24
654,177,24
655,186,26
656,174,24
657,170,24
658,186,22
659,165,38
660,164,38
661,164,40
662,165,36
663,174,22
664,188,16
665,168,36
666,189,16
667,190,44
668,191,44
669,191,46
670,190,48
671,192,34
672,172,42
673,164,34
674,165,34
675,164,46
676,164,50
677,190,36
678,180,36
679,191,38
680,191,42
681,182,42
682,180,42
683,180,44
684,190,46
685,180,46
686,180,48
687,182,34
688,191,36
689,182,36
690,182,32
691,182,38
692,167,50
693,180,32
694,180,34
695,190,38
696,180,38
697,190,42
698,182,44
699,182,46
700,190,50
701,180,58
702,182,58
703,172,40
704,164,48
705,165,50
706,164,32
707,165,32
708,173,50
709,180,24
710,191,40
711,182,40
712,186,24
713,191,48
714,182,48
715,191,50
716,190,40
717,180,40
718,177,16
719,179,48
720,180,50
721,175,34
722,193,24
723,193,26
724,194,22
725,194,24
726,193,22
727,194,26
728,168,52
729,170,52
730,175,48
731,175,50
732,173,52
733,173,55
734,172,50
735,164,52
736,172,52
737,182,50
738,187,24
739,187,26
740,187,16
741,181,24
742,65,28
743,66,28
744,190,52
745,180,52
746,183,24
747,193,16
748,179,50
749,195,44
750,169,52
751,167,55
752,165,52
753,165,55
754,191,52
755,172,55
756,182,52
757,175,52
758,175,55
759,169,55
760,148,30
761,196,44
762,148,10
763,197,10
764,198,42
765,199,16
766,199,10
767,200,5
768,200,8
769,201,6
770,199,8
771,202,34
772,203,34
773,204,46
774,205,50
775,204,50
776,205,52
