participacion_id,evento_edicion_id,noc_codigo,medalla_id,nombre_equipo,es_por_equipos,puesto,puesto_texto,empatado
1,1,FRA,,,true,17,=17,true
2,2,FRA,,,true,,,false
3,3,FRA,,,false,32,=32,true
4,4,FRA,,,true,8,=8,true
5,5,FRA,,,true,4,4,false
6,6,FRA,,,false,17,=17,true
7,7,FRA,,,true,17,=17,true
8,8,FRA,,,false,4,4,false
9,9,FRA,,,true,15,=15,true
10,10,FRA,3,,true,3,3,false
11,3,FRA,,,false,9,=9,true
12,10,FRA,2,,true,2,2,false
13,11,FRA,3,,true,3,3,false
14,2,FRA,3,,true,3,3,false
15,12,FRA,,,false,33,=33,true
16,13,FRA,,,true,17,=17,true
17,14,FRA,,,false,9,=9,true
18,15,FRA,,,true,9,=9,true
19,16,FRA,3,,true,3,3,false
20,17,FRA,,,false,17,=17,true
21,18,FRA,,,true,49,=49,true
22,8,FRA,2,,false,2,2,false
23,9,FRA,,,true,,,false
24,8,FRA,,,false,17,=17,true
25,19,FRA,3,,true,3,=3,true
26,20,FRA,,,true,5,=5,true
27,21,FRA,,,true,3,=3,true
28,22,FRA,,,true,1,1,false
29,23,FRA,,FRA,true,,,true
30,24,FRA,,,false,5,=5,true
31,25,FRA,,,false,5,=5,true
32,26,FRA,,,true,17,=17,true
33,27,FRA,,,false,5,=5,true
34,28,FRA,,,false,,,false
35,19,FRA,2,,false,2,2,false
36,21,FRA,,,false,1,1,false
37,29,FRA,,,false,,,false
38,30,FRA,,,true,,,false
39,31,FRA,,,true,,,false
40,32,FRA,,,false,,,false
41,3,FRA,,,true,17,=17,true
42,4,FRA,1,,true,1,1,false
43,5,FRA,3,,true,3,3,false
44,33,FRA,,,false,8,=8,true
45,34,FRA,,,false,,,false
46,28,FRA,,,true,8,=8,true
47,19,FRA,,,true,5,=5,true
48,20,FRA,,,true,9,=9,true
49,13,FRA,,,true,5,=5,true
50,15,FRA,,,true,5,=5,true
51,35,FRA,,,true,9,=9,true
52,16,FRA,,,true,5,=5,true
53,18,FRA,,,false,33,=33,true
54,36,FRA,,,false,5,=5,true
55,37,FRA,,,false,9,=9,true
56,38,FRA,,,true,5,=5,true
57,39,FRA,,,true,17,=17,true
58,40,FRA,,,true,9,=9,true
59,41,FRA,,,false,33,=33,true
60,42,FRA,,,true,17,=17,true
61,12,FRA,2,,false,2,2,false
62,14,FRA,,,false,17,=17,true
63,35,FRA,,,false,17,=17,true
64,43,FRA,,,false,2,2,false
65,21,FRA,,,true,2,2,false
66,29,FRA,,,false,5,=5,true
67,32,FRA,,,false,9,=9,true
68,44,FRA,1,,true,1,1,false
69,32,FRA,1,,false,1,1,false
70,8,FRA,,,false,5,=5,true
71,1,FRA,,,true,,,false
72,5,FRA,,,true,9,=9,true
73,28,FRA,,,true,5,=5,true
74,37,FRA,,,false,17,=17,true
75,21,FRA,,,true,5,=5,true
76,45,FRA,,,false,,,true
77,46,FRA,,,true,2,2,false
78,46,FRA,,,true,3,=3,true
79,46,FRA,,,false,3,3,false
80,20,FRA,,,false,,,false
81,1,FRA,,,false,31,=31,true
82,43,FRA,,,true,1,1,false
83,20,FRA,,,false,1,1,false
84,6,FRA,,,false,33,=33,true
85,47,FRA,,,false,33,=33,true
86,39,FRA,,,false,5,=5,true
87,48,FRA,,,false,9,=9,true
88,49,FRA,,,true,17,=17,true
89,50,FRA,,,true,5,=5,true
90,51,FRA,,,false,33,=33,true
91,52,FRA,,,true,5,=5,true
