edicion_id,ciudad_id,es_principal
1,4,true
2,27,true
3,37,true
4,4,true
5,18,true
6,38,true
8,3,true
9,10,true
10,27,true
11,31,true
12,2,true
13,16,true
14,19,true
15,12,true
16,8,true
21,31,true
22,18,true
23,26,true
24,14,true
25,11,true
26,20,true
26,38,false
27,36,true
28,29,true
29,15,true
30,40,true
31,13,true
32,21,true
33,32,true
34,24,true
35,15,true
36,22,true
37,16,true
38,23,true
39,33,true
40,19,true
41,9,true
42,34,true
43,1,true
44,6,true
45,17,true
46,5,true
47,25,true
48,39,true
49,30,true
50,4,true
51,41,true
52,7,true
53,42,true
55,18,true
56,35,true
58,28,true
61,40,true
63,27,true
